																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			script	ref	ground
THẬM CHÍ CÀNG GIỐNG ÁO QUÍ NÀNG CÀNG MỐT	VIVOSDEV06_001	VIVOSDEV06_126
CÒN BỘ KHANG HI TỪ ĐIỂN	VIVOSDEV06_296	VIVOSDEV06_139
ĐÔI MÔI MẸ PHAI SON MẤP MÁY MỘT LỜI CA HOANG HOẢI	VIVOSDEV06_079	VIVOSDEV06_143
SỐ KHÁC SUY ĐOÁN RẰNG ANH TA HÀNH ĐỘNG ÁC TÂM VẬY	VIVOSDEV06_296	VIVOSDEV06_157
HOẶC BẠN SẼ ĐẾN ĐẤY VỚI MỘT TÂM TRẠNG CHÁN NGÁN VÔ CÙNG	VIVOSDEV06_272	VIVOSDEV06_184
PHẢI ĐƯỢC THỰC HIỆN TRÊN CƠ SỞ	VIVOSDEV06_098	VIVOSDEV06_195
HAI MƯƠI SÁU HAI MƯƠI BẢY	VIVOSDEV06_261	VIVOSDEV06_210
BA MƯƠI BA MƯƠI MỐT	VIVOSDEV06_210	VIVOSDEV06_212
NĂM MƯƠI NĂM MƯƠI MỐT	VIVOSDEV06_286	VIVOSDEV06_222
TÁM MƯƠI SÁU TÁM MƯƠI BẢY	VIVOSDEV06_253	VIVOSDEV06_240
TÁM MƯƠI TÁM TÁM MƯƠI CHÍN	VIVOSDEV06_022	VIVOSDEV06_241
MỘT TRĂM MỘT HAI BA	VIVOSDEV06_022	VIVOSDEV06_247
MỘT BA NĂM BẢY CHÍN	VIVOSDEV06_117	VIVOSDEV06_248
NÓI TRƯỚC BƯỚC KHÔNG QUA	VIVOSDEV06_296	VIVOSDEV06_252
CHẲNG LÀ MẤY HÔM NAY TÔI ĐAU BỤNG QUÁ	VIVOSDEV06_212	VIVOSDEV06_253
SAO KẾT QUẢ RA TỆ VẬY	VIVOSDEV06_143	VIVOSDEV06_261
TÔI CHỈ MUỐN XEM NHỮNG ĐOẠN HAY MÀ THÔI	VIVOSDEV06_248	VIVOSDEV06_272
CÔNG TY TRÁCH NHIỆM HỮU HẠN ĂN UỐNG	VIVOSDEV06_061	VIVOSDEV06_285
PHÍ CHUYỂN GIAO CÔNG NGHỆ LÀ BA CHỤC NGÀN ĐỒNG	VIVOSDEV06_157	VIVOSDEV06_286
LƯƠNG BA CỌC BA ĐỒNG THÌ NUÔI ĐƯỢC AI	VIVOSDEV06_042	VIVOSDEV06_287
CÔ ẤY ĐÃ QUÁ CHÉN	VIVOSDEV06_006	VIVOSDEV06_296
HẰNG NĂM CHÚNG TA THẢI RA HÀNG TỈ THIẾT BỊ ĐIỆN TỬ	VIVOSDEV07_025	VIVOSDEV07_002
CHO NHỮNG CHUYẾN DÃ NGOẠI CỦA DU KHÁCH	VIVOSDEV07_185	VIVOSDEV07_025
NHỮNG NHƯỢC ĐIỂM CỦA MÌNH	VIVOSDEV07_197	VIVOSDEV07_030
VÌ ĐÓ MỚI CHÍNH LÀ THỨ BẠN CẦN	VIVOSDEV07_236	VIVOSDEV07_036
GIÓ TRỜI KHÔNG THỂ THÔNG THỐC THỔI VÀO KHAI TRUNG	VIVOSDEV07_264	VIVOSDEV07_039
BỞI CƠ QUAN CHUYÊN MÔN HOẶC THUÊ TỔ CHỨC KIỂM TOÁN ĐỘC LẬP	VIVOSDEV07_064	VIVOSDEV07_044
HOẶC CHO VÀO VẠI MUỐI ĐỂ LỢN ĂN DẦN	VIVOSDEV07_156	VIVOSDEV07_045
CỨ CHỤM CÁC ĐẦU NGÓN TAY LẠI MỘT CHỖ	VIVOSDEV07_030	VIVOSDEV07_064
ĐÃ CÓ DỰ ÁN ĐỂ XÂY DỰNG MỘT CÁI CẦU TỪ ĐẤT LIỀN	VIVOSDEV07_127	VIVOSDEV07_066
CHẠM VÀO PHẦN THÓP MỀM TRÊN ĐẦU BÉ	VIVOSDEV07_195	VIVOSDEV07_067
THÌ BỖNG NGHE THẤY TIẾNG OÁC OÁC TỪ VẠT RỪNG PHI LAO	VIVOSDEV07_066	VIVOSDEV07_084
PHỤC VỤ CHO MÙA THI ĐẠI HỌC ĐANG ĐẾN SÁT SẠT	VIVOSDEV07_209	VIVOSDEV07_093
NGUYÊN THỨ TRƯỞNG BỘ ĐẠI HỌC VÀ GIÁO DỤC CHUYÊN NGHIỆP CŨ	VIVOSDEV07_030	VIVOSDEV07_107
VÀO CƠ QUAN LÀ ANH HÓT GIỐNG HỆT NHỒNG MỚI LỘT LƯỠI VẬY	VIVOSDEV07_182	VIVOSDEV07_115
ÁNG CHỪNG ĐÃ NGOẠI BẢY MƯƠI	VIVOSDEV07_066	VIVOSDEV07_125
CÓ HAI TÁC DỤNG TÍCH CỰC	VIVOSDEV07_134	VIVOSDEV07_127
THAM GIA GIẢNG DẠY LÀ LỰC LƯỢNG ĐOÀN VIÊN	VIVOSDEV07_115	VIVOSDEV07_134
ĐÓ HẲN LÀ MỘT MÓN QUÀ	VIVOSDEV07_185	VIVOSDEV07_138
VÀ KHI THẤY TÔI VẪN KIÊN ĐỊNH TRẢ LỜI TRỚT QUỚT	VIVOSDEV07_138	VIVOSDEV07_141
ĐẦU TIÊN LÀ BÀ CON MÌNH VẬT VÃ LÀM ĂN	VIVOSDEV07_138	VIVOSDEV07_156
MÀ CHO ĐẾN LÚC ĐÓ ĐƯỢC XEM LÀ CỦA TƯ NHÂN	VIVOSDEV07_190	VIVOSDEV07_168
NHƯ LẦN NÀY ĐƯỢC NẾM MÓN GIÒ THỦ HOÀN TOÀN LÀM TỪ TAI HEO	VIVOSDEV07_064	VIVOSDEV07_170
NHỮNG NGƯỜI HOÀI NGHI NÓI RẰNG GIỮ ĐƯỢC VẬT TREO LỦNG LẲNG TRÊN NGƯỜI	VIVOSDEV07_064	VIVOSDEV07_182
CHÍU CHÍT GỢI TÌNH MẸ CON SUM HỌP	VIVOSDEV07_125	VIVOSDEV07_185
NƠI CÓ MẤY TÊN TRÔNG RẤT GẤU	VIVOSDEV07_211	VIVOSDEV07_190
NHIỀU TRỤ ĐÁ DI TÍCH NẰM NGHIÊNG NGẢ VÀ VỠ NÁT	VIVOSDEV07_197	VIVOSDEV07_194
HỌ CŨNG LUÔN TRÁNH XA NHỮNG TÌNH HUỐNG CÓ THỂ GÂY HẠI CHO HỌ	VIVOSDEV07_264	VIVOSDEV07_195
TRONG CUỘC SỐNG CỦA TÔI CHÚNG KHÔNG DÙNG ĐỂ KIẾM RA LỢI NHUẬN	VIVOSDEV07_064	VIVOSDEV07_197
HAI MƯƠI BỐN HAI MƯƠI LĂM	VIVOSDEV07_264	VIVOSDEV07_209
HAI MƯƠI TÁM HAI MƯƠI CHÍN	VIVOSDEV07_064	VIVOSDEV07_211
NĂM MƯƠI HAI NĂM MƯƠI BA	VIVOSDEV07_045	VIVOSDEV07_223
SÁU MƯƠI TÁM SÁU MƯƠI CHÍN	VIVOSDEV07_236	VIVOSDEV07_231
BẢY MƯƠI TÁM BẢY MƯƠI CHÍN	VIVOSDEV07_134	VIVOSDEV07_236
CHÍN MƯƠI TÁM CHÍN MƯƠI CHÍN	VIVOSDEV07_266	VIVOSDEV07_246
BUỔI SÁNG THÀNH PHỐ Ô NHIỄM HƠN BUỔI TRƯA	VIVOSDEV07_295	VIVOSDEV07_264
NÓNG GIẬN TÔI ĐÃ LĂNG MẠ ANH	VIVOSDEV07_185	VIVOSDEV07_266
CHỦ TÀU CHO BIẾT SẼ TIẾP TỤC THƯƠNG THUYẾT VỀ SỐ CHI PHÍ NÀY	VIVOSDEV07_115	VIVOSDEV07_295
ĐỪNG ĐỂ CON SÂU ĂN	VIVOSDEV08_208	VIVOSDEV08_002
CÂY CỔ THỤ ẤY BẤT CHỢT BỊ BỆNH TẬT QUẬT NGÃ	VIVOSDEV08_193	VIVOSDEV08_005
VÀ NẾU BẠN TRÓT LÀM LỘN XỘN MÀN HÌNH NỀN	VIVOSDEV08_222	VIVOSDEV08_014
ĐẠO DIỄN TRẺ NÀY CÓ NHIỀU ĐIỀU NGẪM NGỢI VỀ NGHỀ	VIVOSDEV08_141	VIVOSDEV08_025
SẼ KHÔNG KHIẾN BẠN TRÔNG GẦY NHƯ NHỮNG TRANG PHỤC MỘT MÀU	VIVOSDEV08_062	VIVOSDEV08_032
BỞI CƠ QUAN CHUYÊN MÔN HOẶC THUÊ TỔ CHỨC KIỂM TOÁN ĐỘC LẬP	VIVOSDEV08_071	VIVOSDEV08_053
NÓ LẬT ĐẬT ĐẠP CHIẾC XE CÀ TÀNG BĂNG NGAY RA ĐẦU ĐƯỜNG	VIVOSDEV08_071	VIVOSDEV08_057
HOẶC CHỈ BIỂU HIỆN BẰNG CÁC RỐI LOẠN CO BÓP	VIVOSDEV08_274	VIVOSDEV08_062
KHI TÔI LÀ CON BÉ LỚP BỐN THÌ CÂY VẢ ĐÃ CAO QUÁ NÓC NHÀ	VIVOSDEV08_214	VIVOSDEV08_071
BUỔI ĐẦU THẬT KHÓ KHĂN THEO ĐUỔI CHƯƠNG TRÌNH HỌC	VIVOSDEV08_014	VIVOSDEV08_077
VIỆC ĐƯA TÍN HIỆU TRUYỀN HÌNH TRỰC TIẾP BẰNG HỆ THỐNG CÁP QUANG	VIVOSDEV08_233	VIVOSDEV08_085
VÌ KHÔNG CÓ TIỀN ĐÓNG HỌC PHÍ	VIVOSDEV08_127	VIVOSDEV08_090
THÌ BỖNG NGHE MẤY TIẾNG OÁC OÁC TỪ VẠT RỪNG PHI LAO	VIVOSDEV08_201	VIVOSDEV08_093
HAY ĐẢM BẢO RẰNG NGÀY NÀO CHÚNG CŨNG ĐƯỢC ĐI NHỮNG ĐÔI TẤT SẠCH	VIVOSDEV08_141	VIVOSDEV08_100
VỀ VIỆC MANG ĐẾN CHO CÁC EM NIỀM VUI HỌC	VIVOSDEV08_222	VIVOSDEV08_127
CÓ LẼ PHẢI MẤT NHIỀU THỜI GIAN	VIVOSDEV08_093	VIVOSDEV08_128
NƯỚC GỖ TRÊN CHIẾC ĐỒNG HỒ ĐÃ BẮT LÊN MÀU GỤ BÓNG LOÁNG	VIVOSDEV08_090	VIVOSDEV08_129
KHI SỨC ÉP BIẾN MẤT CHÚNG TRỞ LẠI TÌNH TRẠNG MỀM DẺO BÌNH THƯỜNG	VIVOSDEV08_222	VIVOSDEV08_141
THAM GIA GIẢNG DẠY LÀ LỰC LƯỢNG ĐOÀN VIÊN	VIVOSDEV08_208	VIVOSDEV08_143
VÀ VẢI HOẶC CÓI NHIỀU MÀU	VIVOSDEV08_057	VIVOSDEV08_145
VỚI NGƯỜI MẸ Ở XÓM CHÀI LONG BIÊN	VIVOSDEV08_193	VIVOSDEV08_159
CHƯƠNG TRÌNH ĐÃ TẠO ĐƯỢC HIỆU ỨNG TỐT TỪ PHÍA KHÁN GIẢ NHÍ	VIVOSDEV08_193	VIVOSDEV08_163
DỊCH VỤ KIỂM TRA SỨC KHỎE ĐỊNH KỲ LÀ MỘT Ý KIẾN HAY	VIVOSDEV08_128	VIVOSDEV08_166
CHÍNH SỰ LÊN SÀN Ồ ẠT ĐÓ	VIVOSDEV08_071	VIVOSDEV08_180
KẾT QUẢ CHỈ CÓ VỎN VẸN BA NGƯỜI CÒN BIẾT DỆT	VIVOSDEV08_210	VIVOSDEV08_182
LÀ TƯƠNG ĐỐI CÓ HIỆU QUẢ	VIVOSDEV08_100	VIVOSDEV08_193
PHẦN LỚN HỌC SINH GIÀU CÓ NGƯỜI NƯỚC NGOÀI	VIVOSDEV08_100	VIVOSDEV08_196
KHÔNG MỘT HAI BA BỐN	VIVOSDEV08_182	VIVOSDEV08_201
HAI MƯƠI HAI HAI MƯƠI BA	VIVOSDEV08_062	VIVOSDEV08_208
HAI MƯƠI SÁU HAI MƯƠI BẢY	VIVOSDEV08_300	VIVOSDEV08_210
BA MƯƠI BỐN BA MƯƠI LĂM	VIVOSDEV08_057	VIVOSDEV08_214
NĂM MƯƠI NĂM MƯƠI MỐT	VIVOSDEV08_025	VIVOSDEV08_222
NĂM MƯƠI BỐN NĂM MƯƠI LĂM	VIVOSDEV08_222	VIVOSDEV08_224
BẢY MƯƠI HAI BẢY MƯƠI BA	VIVOSDEV08_166	VIVOSDEV08_233
TÔI CHẾT CÙNG VỚI ÁNH TRĂNG	VIVOSDEV08_222	VIVOSDEV08_274
ĐÀN ÔNG CÓ HAI THỨ ĐỂ BUỒN	VIVOSDEV08_025	VIVOSDEV08_277
GIÀU ĐỔI BẠN SANG ĐỔI VỢ	VIVOSDEV08_143	VIVOSDEV08_295
ÁN MẠNG TRÊN TOA TÀU TỐC HÀNH	VIVOSDEV08_032	VIVOSDEV08_300
LÀM RỜM RỢP BIỂN MÂY LAU LÁCH PHẤT PHƠ	VIVOSDEV09_204	VIVOSDEV09_015
TRỨNG MỰC QUYẾN RŨ CÁC NGƯ DÂN	VIVOSDEV09_110	VIVOSDEV09_022
BẠN CÓ THỂ KHIỂN TRÁCH NGƯỜI LÁI XE	VIVOSDEV09_289	VIVOSDEV09_029
LOÁNG THOÁNG TRĂN TRỞ LOÁNG THOÁNG BUỒN VUI	VIVOSDEV09_158	VIVOSDEV09_035
PHÒNG TRÀ KHIÊU VŨ CÁNH QUẠT CỐI XAY ĐỎ	VIVOSDEV09_134	VIVOSDEV09_038
THỊT NGỌT LỪ ẤY LẠI MANG THEO TRÙNG SÁN GÂY BỆNH	VIVOSDEV09_035	VIVOSDEV09_039
HIỆN TRONG NHIỀU LOẠI TỎI CÓ MẶT TRÊN THỊ TRƯỜNG	VIVOSDEV09_194	VIVOSDEV09_041
NGÀY CĂN BẬC HAI CHỈ DIỄN RA CHÍN LẦN TRONG MỘT THẾ KỶ	VIVOSDEV09_288	VIVOSDEV09_047
RỒI RƠM RẠ KHÔ THEO THÂN HÌNH GẦY NGẲNG	VIVOSDEV09_268	VIVOSDEV09_055
ĐỂ CÓ THỂ VẬN HÀNH CHÚNG ĐƯỢC HIỆU QUẢ HƠN	VIVOSDEV09_280	VIVOSDEV09_077
ĐƯỢC MỸ RÁO RIẾT TUNG RA	VIVOSDEV09_106	VIVOSDEV09_081
VÌ LƯỢNG CA KHÚC MỚI QUÁ NHIỀU	VIVOSDEV09_022	VIVOSDEV09_083
KHIẾN CẢ HAI PHẢI GIẬN HỜN VÔ LÝ	VIVOSDEV09_106	VIVOSDEV09_098
RỒI CHÌM LỈM MỘT THỜI GIAN	VIVOSDEV09_289	VIVOSDEV09_106
KHI MIỆNG VẪN NGẬM BẦU VÚ QUẮT QUEO	VIVOSDEV09_142	VIVOSDEV09_110
CÂU TRẢ LỜI CỦA ÔNG TA RẤT KHIẾM NHÃ	VIVOSDEV09_178	VIVOSDEV09_134
NẾU CHỦ ĐẦU TƯ KHÔNG TỰ PHÁ DỠ THÌ BỊ CƯỠNG CHẾ	VIVOSDEV09_267	VIVOSDEV09_139
VỀ CHUYỆN ĐANG THEO DÕI BỌN GIÁN ĐIỆP NƯỚC NGOÀI	VIVOSDEV09_166	VIVOSDEV09_142
ĐƯỢC CẮT TỪ VỎ CHĂN BỘ ĐỘI CŨ CỦA CÁC ÔNG BỐ RA	VIVOSDEV09_142	VIVOSDEV09_144
SỢ NHẤT LÀ MÙA MƯA SẤM SÉT ĐÙNG ĐOÀNG TRÊN NÚI	VIVOSDEV09_280	VIVOSDEV09_158
TỨC LẤY SỤN LÀNH TỪ NƠI KHÔNG PHẢI CHỊU LỰC GHÉP VÀO NƠI HƯ	VIVOSDEV09_166	VIVOSDEV09_159
ĐIỀU VÔ CÙNG QUAN TRỌNG TRONG THỜI ĐẠI CÓ QUÁ NHIỀU HOẠT ĐỘNG	VIVOSDEV09_041	VIVOSDEV09_163
THÍ SINH TỰ DO CẦN QUAN TÂM ĐẾN ĐỘ VÊNH KIẾN THỨC CÁC MÔN	VIVOSDEV09_106	VIVOSDEV09_166
MỖI NGƯỜI CHÚNG TA SẼ CÓ NHỮNG THỨ KHÁC NHAU	VIVOSDEV09_077	VIVOSDEV09_168
VÀ THẬM CHÍ BẠN CŨNG KHÔNG NÊN CỐ GẮNG	VIVOSDEV09_267	VIVOSDEV09_178
TRÊN BẦU TRỜI ÁNH TRĂNG SÁNG VẰNG VẶC	VIVOSDEV09_144	VIVOSDEV09_194
LÀ TỔ TIÊN CỦA ÔNG ĐẶNG LÊN ĐẢM TRÁCH VIỆC DẪN ĐƯỜNG	VIVOSDEV09_288	VIVOSDEV09_198
TÁM CHÍN MƯỜI MƯỜI MỘT	VIVOSDEV09_110	VIVOSDEV09_203
MƯỜI MỘT MƯỜI HAI MƯỜI BA	VIVOSDEV09_047	VIVOSDEV09_204
NĂM MƯƠI NĂM MƯƠI MỐT	VIVOSDEV09_110	VIVOSDEV09_222
CHÍN MƯƠI TÁM CHÍN MƯƠI CHÍN	VIVOSDEV09_110	VIVOSDEV09_246
CĂN NHÀ ĐẰNG KIA NGHE NÓI CÓ MA	VIVOSDEV09_289	VIVOSDEV09_267
THÚ THẬT TUI CHƯA TỪNG CHƠI GÁI	VIVOSDEV09_083	VIVOSDEV09_268
XUÂN NÀY EM KHÔNG VỀ	VIVOSDEV09_098	VIVOSDEV09_280
CHẮC SẮP TỚI THU XẾP ĐI DU LỊCH THÔI	VIVOSDEV09_203	VIVOSDEV09_288
PHƯƠNG CHÂM SỐNG CỦA TÔI LÀ NGƯỜI KHÔNG VÌ MÌNH TRỜI TRU ĐẤT DIỆT	VIVOSDEV09_139	VIVOSDEV09_289
NÓ TRỐN MẤT TIÊU RỒI CÒN ĐÂU	VIVOSDEV09_035	VIVOSDEV09_293
THẾ NÀO LÀ HOÀN HẢO	VIVOSDEV09_081	VIVOSDEV09_297
KHI BỊ CÔNG AN THỘP CỔ KHẨN CẤP	VIVOSDEV10_194	VIVOSDEV10_010
SAU KHI ĐỌC NHỮNG THÔNG TIN TRÊN BÁO	VIVOSDEV10_266	VIVOSDEV10_014
NGA KHI ẤY CÀNG THÌN NẾT NA	VIVOSDEV10_073	VIVOSDEV10_017
VIỆC ÁP DỤNG CẢ BÀN VÁ LỖI VÀ CÔNG CỤ QUÉT	VIVOSDEV10_245	VIVOSDEV10_020
NGOÀI TRỜI MƯA CỨ LAY PHAY RẮC HẠT	VIVOSDEV10_045	VIVOSDEV10_024
NUÔI MÔ HÌNH TINH HOÀN RỒI TẠO RA TINH HOÀN VỚI ĐẦY ĐỦ HÌNH HÀI	VIVOSDEV10_249	VIVOSDEV10_030
CÓ THỂ GIÚP TA QUÊN ĐI NHỮNG NỖI ƯU PHIỀN	VIVOSDEV10_162	VIVOSDEV10_035
MÀ DUNG DĂNG NHÉ CẦM TAY ĐẤT TRỜI	VIVOSDEV10_247	VIVOSDEV10_043
TÔI LỚN LÊN TRONG SỰ GHẺ LẠNH CỦA NGƯỜI MẸ KẾ	VIVOSDEV10_262	VIVOSDEV10_045
KHUNG RĂNG HÀM TRÊN KHUM	VIVOSDEV10_172	VIVOSDEV10_051
THẾ NHƯNG TÔI KHÔNG ÂN HẬN KHI TRỞ THÀNH ĐẢ NỮ	VIVOSDEV10_072	VIVOSDEV10_067
VỚI MỘT TỐC ĐỘ MÀ CHÚNG TA KHÔNG THỂ ĐI ĐẾN TẬN CÙNG CỦA NÓ	VIVOSDEV10_211	VIVOSDEV10_068
TÔI THẤY ĐỒNG LƯƠNG CỦA MÌNH NĂM NĂM RỒI VẪN ĐỨNG NGUYÊN	VIVOSDEV10_020	VIVOSDEV10_072
ĐỂ CHẤM DỨT NẠN BẠO HÀNH TRONG GIA ĐÌNH	VIVOSDEV10_017	VIVOSDEV10_073
LÀM ĐƯỜNG SÁ NGẬP XẮP XẮP QUANH NĂM SUỐT THÁNG	VIVOSDEV10_196	VIVOSDEV10_076
VỪA ĐƯỢC TRAO TẶNG GIẢI THƯỞNG NHÀ NƯỚC	VIVOSDEV10_072	VIVOSDEV10_090
ĐIỀU NÀY ĐÚNG VỚI MỌI CẤP ĐỘ VÀ TRONG MỌI LĨNH VỰC CỦA ĐỜI SỐNG	VIVOSDEV10_073	VIVOSDEV10_129
CHÀNG TRAI LỒM CỒM BÒ DẬY MẶT MÀY XANH LÉT NHƯ TÀU LÁ CHUỐI	VIVOSDEV10_035	VIVOSDEV10_140
CHÍNH PHỦ ĐỒNG THỜI CŨNG LẬP THÊM CỤC XÚC TIẾN TIÊU THỤ DẦU CỌ	VIVOSDEV10_239	VIVOSDEV10_156
CŨNG LÀ TIN VUI CHO TẤT CẢ NHỮNG AI	VIVOSDEV10_247	VIVOSDEV10_162
HƯỢM ĐÃ CÒN PHẢI ĐIỀU CHỈNH	VIVOSDEV10_212	VIVOSDEV10_172
TRONG TÌNH THẾ ẤY CHỈ ĐÁM TRẺ VEN SÔNG	VIVOSDEV10_247	VIVOSDEV10_176
NẾU ĐI TIẾP NHA TRANG	VIVOSDEV10_245	VIVOSDEV10_189
TỨC CHANH CÓ THỂ TRỊ ĐƯỢC BỆNH	VIVOSDEV10_076	VIVOSDEV10_194
CHỈ MUỐN LÀM MỘT HƠI CHO ĐÃ CÁI MIỆNG	VIVOSDEV10_234	VIVOSDEV10_196
HAI MƯƠI TÁM HAI MƯƠI CHÍN	VIVOSDEV10_073	VIVOSDEV10_211
BA MƯƠI BA MƯƠI MỐT	VIVOSDEV10_262	VIVOSDEV10_212
SÁU MƯƠI SÁU MƯƠI MỐT	VIVOSDEV10_211	VIVOSDEV10_227
BẢY MƯƠI BỐN BẢY MƯƠI LĂM	VIVOSDEV10_278	VIVOSDEV10_234
TÁM MƯƠI BỐN TÁM MƯƠI LĂM	VIVOSDEV10_257	VIVOSDEV10_239
CHÍN MƯƠI SÁU CHÍN MƯƠI BẢY	VIVOSDEV10_278	VIVOSDEV10_245
MỘT TRĂM MỘT HAI BA	VIVOSDEV10_076	VIVOSDEV10_247
KHÔNG HAI BỐN SÁU TÁM	VIVOSDEV10_262	VIVOSDEV10_249
TIỀN ĐIỆN THÁNG NÀY BAO NHIÊU	VIVOSDEV10_067	VIVOSDEV10_257
THUA XA TIỆM TẠP HOÁ NHÀ TAO	VIVOSDEV10_043	VIVOSDEV10_262
TỪ TRÊN NÓC NHÀ NHÌN XUỐNG CÓ KHÁC	VIVOSDEV10_129	VIVOSDEV10_266
TỘI NGHIỆP ĐỨA NHỎ KHÔNG AI CHĂM SÓC	VIVOSDEV10_020	VIVOSDEV10_278
EM SỢ CÓ MỘT NGÀY ANH GẶP NGƯỜI CON GÁI KHÁC TỐT HƠN EM RỒI ANH BỎ EM	VIVOSDEV10_211	VIVOSDEV10_294
NỮ DIỄN VIÊN XINH ĐẸP PHẠM BĂNG BĂNG	VIVOSDEV11_081	VIVOSDEV11_015
SẼ LÀM GIẢM TÌNH TRẠNG ÓI ỌC CỦA TRẺ	VIVOSDEV11_136	VIVOSDEV11_022
MÀ PHẢI CHE CHÁI Ở TẠM BÊN HÔNG NHÀ CHA RUỘT	VIVOSDEV11_076	VIVOSDEV11_033
TÔI CÓ THỂ CĂM GIẬN ĐỦ THỨ	VIVOSDEV11_079	VIVOSDEV11_036
MÀ PHẢI CHUYỂN QUA HÌNH THỨC GIAO DỊCH	VIVOSDEV11_077	VIVOSDEV11_038
ĐỪNG BAO GIỜ ĐỂ CHO BẤT KỲ AI NÓI VỚI BẠN RẰNG	VIVOSDEV11_076	VIVOSDEV11_046
VÀNG ÓNG ĐÔI GHỆT CAO CỔ CỦA NGỰ LÂM QUÂN	VIVOSDEV11_269	VIVOSDEV11_048
NẾU BẠN VẪN CẢM THẤY TỘI LỖI	VIVOSDEV11_083	VIVOSDEV11_063
DÃI DẦU NẮNG GIÓ TRƯỜNG SƠN	VIVOSDEV11_137	VIVOSDEV11_075
VỚI TRÊN LÀ NÚI VÀ DƯỚI LÀ SÔNG	VIVOSDEV11_137	VIVOSDEV11_076
VỚI SỰ XUẤT HIỆN CỦA QUÁI THÚ VÀ RỒNG	VIVOSDEV11_193	VIVOSDEV11_077
NÉT MẶT HỌ KHÔNG NGỜI LÊN HẠNH PHÚC CỦA NGƯỜI MẸ	VIVOSDEV11_273	VIVOSDEV11_079
MỘT SỐ NGƯỜI CHO RẰNG	VIVOSDEV11_077	VIVOSDEV11_081
MỘT SINH VIÊN ĐƯỢC VAY VỐN TÍN DỤNG HỌC TẬP	VIVOSDEV11_123	VIVOSDEV11_083
MỌI THỨ ĐỀU ĐƯỢC MỔ XẺ LẠI	VIVOSDEV11_081	VIVOSDEV11_095
CÁC CÔNG TY DU LỊCH PHẢI XÁC ĐỊNH	VIVOSDEV11_079	VIVOSDEV11_123
ĐI BỘ LEO NÚI ĐẾN NHỪ CHÂN	VIVOSDEV11_193	VIVOSDEV11_129
THÌ CHỦ ĐẦU TƯ PHẢI TỰ PHÁ DỠ PHẦN NỘI DUNG SAI PHÉP ĐÓ	VIVOSDEV11_252	VIVOSDEV11_131
KHI NHÂN VIÊN CỨU HỘ CỐ GẮNG ĐƯA NÓ LÊN SÀ LAN	VIVOSDEV11_033	VIVOSDEV11_136
NHỮNG NGƯỜI NÀY ĐỀU ĐƯỢC ĐÀO TẠO VỀ HỘI HỌA	VIVOSDEV11_252	VIVOSDEV11_137
GẮN LÔNG CHIM HỘT ĐÁ LÓNG LÁNH HAY BÈO DÚN TÙA LUA ĐẦY CỔ	VIVOSDEV11_015	VIVOSDEV11_147
ÍT NHẤT Ở HƠN BA MƯƠI TRƯỜNG THUỘC CÁC ĐỊA PHƯƠNG NÓI TRÊN	VIVOSDEV11_079	VIVOSDEV11_164
ĐẶC ĐIỂM CỦA PHẨY TRÙNG TẢ	VIVOSDEV11_033	VIVOSDEV11_182
VÌ BAN ĐÊM CHỊ NGỦ KHÔNG NGON	VIVOSDEV11_123	VIVOSDEV11_193
LƠ LỬNG TRÊN ĐẦU LÀ NHỮNG CHIẾC BẪY ĐÁ HÀNG TRĂM KHỐI	VIVOSDEV11_193	VIVOSDEV11_198
BẢY MƯƠI BỐN BẢY MƯƠI LĂM	VIVOSDEV11_198	VIVOSDEV11_234
CHÍN MƯƠI CHÍN MƯƠI MỐT	VIVOSDEV11_289	VIVOSDEV11_242
CHÍN MƯƠI TÁM CHÍN MƯƠI CHÍN	VIVOSDEV11_123	VIVOSDEV11_246
BÂY GIỜ CƯỚP NHIỀU QUÁ ĐI ĐƯỜNG CŨNG THẤY SỢ	VIVOSDEV11_273	VIVOSDEV11_252
TÌM HUNG THỦ HIẾP DÂM BẰNG NƯỚC BỌT NẠN NHÂN	VIVOSDEV11_036	VIVOSDEV11_262
CHÚNG TÔI YÊU NHAU ĐƯỢC HAI NĂM THÌ GIA ĐÌNH TÔI XẢY RA CHUYỆN	VIVOSDEV11_193	VIVOSDEV11_269
TRỌNG TÀI PHẠT THẺ ĐỎ	VIVOSDEV11_076	VIVOSDEV11_273
KIỂU NÀY CHẮC PHẢI CẮT GIẢM BIÊN CHẾ	VIVOSDEV11_131	VIVOSDEV11_274
THÔI THÌ CỨ SẮP XẾP NHƯ VẬY	VIVOSDEV11_123	VIVOSDEV11_282
THEO PHÓ CHỦ TỊCH ỦY BAN AN TOÀN GIAO THÔNG QUỐC GIA	VIVOSDEV11_282	VIVOSDEV11_289
CHUẨN BỊ CHO NGÀY KHAI TRƯƠNG CỬA HÀNG ĐẦU TIÊN	VIVOSDEV11_079	VIVOSDEV11_298
TỪ SỰ DƯ THỪA QUÁ MỨC CỦA LUỒNG TIỀN NÀY	VIVOSDEV12_275	VIVOSDEV12_006
ĐÓ CHỨNG TỎ RẰNG CHÚNG TA ĐÃ GIÀ	VIVOSDEV12_280	VIVOSDEV12_011
TRẢ LẠI ĐẤT CHO RỪNG	VIVOSDEV12_100	VIVOSDEV12_015
