script	ref	ground
KHIẾN MỘT PHẦN MẠNG LƯỚI ĐIỆN THOẠI CẦM TAY VÀ CỐ ĐỊNH TÊ LIỆT	VIVOSSPK11_R149	VIVOSSPK11_R118
MỘT CON NGƯỜI SÍNH THÀNH TÍCH	VIVOSSPK11_R075	VIVOSSPK11_R119
TÔI LEN LỎI TRONG BÃI ĐẬU XE MỘT HỒI LÂU	VIVOSSPK11_R182	VIVOSSPK11_R120
VÀ BẠN SẼ BIẾT ĐƯỢC ĐIỀU BẠN CẦN BIẾT ĐÓ LÀ GÌ	VIVOSSPK11_R168	VIVOSSPK11_R121
CÁC BÀN GHẾ SẼ RẤT ĐƠN GIẢN	VIVOSSPK11_R086	VIVOSSPK11_R122
BỞI XEN LẪN TRONG CÁC BÓNG HỒNG XẮT RAU RỬA CÁ	VIVOSSPK11_R038	VIVOSSPK11_R123
TỪ ĐÓ TƯỚI XUỐNG BỨC TƯỢNG PHẬT BẰNG VÀNG ĐẶT GIỮA SÂN CHÙA	VIVOSSPK11_T010	VIVOSSPK11_R124
ĐẾN CHIẾC CẦU THANG CÂY CỦA NGƯỜI THỢ ĐANG XÂY Ở ĐẦU MÁI NHÀ	VIVOSSPK11_R192	VIVOSSPK11_R125
THEO TÔI CÓ LẼ DÒI LÀ DO RUỒI ĐÃ ĐẺ SẴN TRỨNG	VIVOSSPK11_R039	VIVOSSPK11_R126
MÙI HÔI NỒNG NẶC BỐC RA	VIVOSSPK11_R110	VIVOSSPK11_R127
KHI MỘT NĂM MỚI ĐANG ĐẾN	VIVOSSPK11_R011	VIVOSSPK11_R128
LÀ HÀNG NGÀN SỢI VẢI XÉ TƯA MÀU ĐỎ	VIVOSSPK11_R026	VIVOSSPK11_R129
VỐN ĐÃ ĐƯỢC XEM LÀ ĐIỂM ĐẾN CỦA NHỮNG MỐI TÌNH VỤT CHÁY	VIVOSSPK11_R051	VIVOSSPK11_R130
NHƯ HẠT BỤI GIỮA BA NGHÌN THẾ GIỚI	VIVOSSPK11_T031	VIVOSSPK11_R131
BỊ TRÀO NGƯỢC BỊ SỨT MÔI CHẺ VÒM ĂN UỐNG KHÓ KHĂN	VIVOSSPK11_T013	VIVOSSPK11_R132
SAU NÀY EM TÔI CHẮC CHẮN SẼ CÓ MỘT TƯƠNG LAI XÁN LẠN	VIVOSSPK11_R182	VIVOSSPK11_R133
CÁI ĐỐNG VỎ HẾN VỎ TRAI ĐANG ĐỂ RUỒI BÂU ĐẦY NHÀ	VIVOSSPK11_T023	VIVOSSPK11_R134
CHÍNH PHỦ MỞ HAI HÀNH LANG AN TOÀN	VIVOSSPK11_R145	VIVOSSPK11_R135
TRƯỜNG HỢP ÍT GÀ CŨNG PHẢI CÓ ĐỘ LẤP CHÔN TỐI THIỂU	VIVOSSPK11_R162	VIVOSSPK11_R136
ÔNG BẠN TÔI VẪN CHẲNG GẠCH ĐƯỢC AI	VIVOSSPK11_R038	VIVOSSPK11_R137
VỚI MỘT PHONG TRÀO TOÀN CẦU CẤP KÍP	VIVOSSPK11_T019	VIVOSSPK11_R139
LẠI VIỀN MÀU ĐỎ SẪM XUNG QUANH	VIVOSSPK11_T030	VIVOSSPK11_R140
SAU KHI HỢP ĐỒNG ĐƯỢC KÝ KẾT	VIVOSSPK11_R095	VIVOSSPK11_R141
CÁC DOANH NGHIỆP ĐỊA ỐC ĐÃ NÓI THẲNG RẰNG	VIVOSSPK11_R113	VIVOSSPK11_R142
ĐỂ BẢO VỆ VÀ KHAI THÁC TIỀM NĂNG VÙNG BIỂN QUANH ĐẢO CỒN CỎ	VIVOSSPK11_R029	VIVOSSPK11_R143
KHI CƠN GIÓ THOẢNG QUA LÁ VÀNG TRÚT LỘP ĐỘP LÊN ĐẦU	VIVOSSPK11_R037	VIVOSSPK11_R144
HÔM NAY LÀ MỘT NGÀY ĐẶC BIỆT	VIVOSSPK11_T029	VIVOSSPK11_R145
MẶT MÀY MÌNH MẨY AI CŨNG BỊ TRẦY SƯỚT BẦM GIẬP CẢ	VIVOSSPK11_R002	VIVOSSPK11_R147
CON BẮT NÓ CẠO TRỌC ĐẦU RỒI BẮT NÓ ĂN CHAY	VIVOSSPK11_T014	VIVOSSPK11_R148
LÍNH BẮN TỈA NẢ ĐẠN	VIVOSSPK11_T020	VIVOSSPK11_R149
CÁC PHÓNG VIÊN TUỔI TRẺ	VIVOSSPK11_R070	VIVOSSPK11_R150
CHÚNG TÔI BỐ TRÍ GÓC QUAY	VIVOSSPK11_R169	VIVOSSPK11_R151
CHO NHỮNG VIỆC SẼ LÀM TRONG HAI NGÀY NGHỈ	VIVOSSPK11_T024	VIVOSSPK11_R152
ĐÃ THAY ĐỔI THEO KHÍA CẠNH NÀY	VIVOSSPK11_R001	VIVOSSPK11_R153
VÀ BÀ CHUẨN BỊ MỘT BỮA CƠM TẾT THẬT THỊNH SOẠN	VIVOSSPK11_T040	VIVOSSPK11_R154
MỘT ĐẢNG MÀ GIẤU GIẾM KHUYẾT ĐIỂM CỦA MÌNH LÀ MỘT ĐẢNG HỎNG	VIVOSSPK11_R135	VIVOSSPK11_R156
CÁI PHẦN NGUỒN HỪNG HỰC TRƯỚC NGỰC	VIVOSSPK11_T009	VIVOSSPK11_R157
NHƯ KHÁNH HÒA ĐỊNH LÀM	VIVOSSPK11_T026	VIVOSSPK11_R158
KHI XẢY RA TÌNH TRẠNG DA MẤN ĐỎ SAU KHI TẨY LÔNG	VIVOSSPK11_R071	VIVOSSPK11_R159
LÀ TÁC ĐỘNG CỦA NÓ ĐẾN HIỆU SUẤT CHUNG CỦA TOÀN BỘ HỆ THỐNG ĐIỆN	VIVOSSPK11_T007	VIVOSSPK11_R160
MỘT QUẢ LỰU ĐẠN ĐƯỢC TUNG RA ĐÚNG LÚC	VIVOSSPK11_T027	VIVOSSPK11_R161
THAI PHỤ SẼ TRÍCH MỘT GIỌT MÁU LÊN QUE THỬ	VIVOSSPK11_R195	VIVOSSPK11_R162
CHO CHỒNG YÊN TÂM ĐI LÀM CÁCH MẠNG	VIVOSSPK11_R071	VIVOSSPK11_R163
CÔ TA KHÔNG THỂ XUẤT HIỆN KHI CA SĨ NHÓP NHÉP	VIVOSSPK11_T036	VIVOSSPK11_R165
TRÊN CÁC TRỤC ĐƯỜNG Ở QUẢNG NGÃI	VIVOSSPK11_R107	VIVOSSPK11_R166
RẤT NHIỀU TRƯỜNG HỌC Ở MỸ	VIVOSSPK11_R136	VIVOSSPK11_R167
BẠN ĐÃ BỎ LỠ MỘT CƠ HỘI HAY ĐÃ BỎ LỠ THỨ GÌ ĐÓ	VIVOSSPK11_R005	VIVOSSPK11_R168
DỊU DÀNG ÁO CỎM KHĂN PIÊU	VIVOSSPK11_R052	VIVOSSPK11_R169
ÔI GIỜI ĐÓ CHỈ LÀ TRÒ ĐÙA CỦA MẤY THẰNG NHÃI CÙNG CƠ QUAN	VIVOSSPK11_R150	VIVOSSPK11_R170
MÓN ĂN MAY MẮN NGÀY XUÂN	VIVOSSPK11_R036	VIVOSSPK11_R171
TÔI VẪN CÒN NHỚ CẢNH BỌN CHÚNG TÔI	VIVOSSPK11_R070	VIVOSSPK11_R172
CÁC NỮ CÔNG NHÂN LÀM CA ĐÊM	VIVOSSPK11_R010	VIVOSSPK11_R174
CHÍNH SÁCH HẠN CHẾ NÀY	VIVOSSPK11_R150	VIVOSSPK11_R175
TÔI ĐƯA TAY LẤY BỊCH CÁM VIÊN CỦA CHỊ DUNG	VIVOSSPK11_T024	VIVOSSPK11_R176
THỜI GIAN ĐÓ ĐỦ ĐỂ DIỆN TÍCH CÂY XANH	VIVOSSPK11_R056	VIVOSSPK11_R177
NHƯNG CHO RẰNG ĐÓ LÀ TIỀN NHỜ MUA TÉC ĐỰNG DẦU	VIVOSSPK11_R003	VIVOSSPK11_R178
MẶC CHA LA MẮNG CHỬI RỦA	VIVOSSPK11_R108	VIVOSSPK11_R179
XUẤT THÂN LÊ VĂN TÌNH CŨNG CHỈ	VIVOSSPK11_T013	VIVOSSPK11_R180
DO BỊ BẮNG BĂNG TRƠN TRỢT	VIVOSSPK11_R086	VIVOSSPK11_R181
HOẶC TRONG TRƯỜNG HỢP BẢO QUẢN TRỨNG	VIVOSSPK11_R050	VIVOSSPK11_R182
VÀ SỰ DÂN CHỦ TRONG TIẾP XÚC VỚI NGƯỜI LỚN	VIVOSSPK11_R158	VIVOSSPK11_R183
HOẶC ĐẼO CÂY CHÀM NGÀM KÊ VÀO DƯỚI CỔ ĐỂ NGỦ CHO KHỎI MỎI	VIVOSSPK11_T045	VIVOSSPK11_R184
TÔI NÊN MỞ MỘT CUỘC TRIỂN LÃM ĐỂ TRƯNG BÀY CHÚNG	VIVOSSPK11_R089	VIVOSSPK11_R185
MẶT TRÁI CỦA THẾ GIỚI	VIVOSSPK11_R038	VIVOSSPK11_R186
THỰC CHẤT CÁCH XỬ SỰ CỦA BẠN	VIVOSSPK11_R051	VIVOSSPK11_R187
TIẾC RẰNG NỤ CƯỜI TƯƠI RÓI KIA	VIVOSSPK11_R064	VIVOSSPK11_R188
NHỮNG VÒNG TRÒN TÍU TÍT NỐI ĐUÔI NHAU TUÔN RA	VIVOSSPK11_R060	VIVOSSPK11_R189
NÊN ÔNG TÌNH NGUYỆN VÀO LÀM CHO MỘT BỆNH VIỆN TRẺ EM	VIVOSSPK11_R032	VIVOSSPK11_R190
THON THẢ DÁNG CÁC CÔ GÁI VƯƠN LÊN	VIVOSSPK11_R032	VIVOSSPK11_R191
CÁC BĂNG NHÓM TỘI PHẠM CÓ TỔ CHỨC	VIVOSSPK11_R009	VIVOSSPK11_R192
MẸ CHỈ DÁM NHẶT LẠI MIẾNG THỊT RỒI ĐI VỀ	VIVOSSPK11_R151	VIVOSSPK11_R193
VÀ KHÔNG THỂ BIẾT RẰNG NHỮNG QUAN ĐIỂM CỦA MÌNH	VIVOSSPK11_R009	VIVOSSPK11_R195
VÌ PHẢI IN CÁC CHƯƠNG TRÌNH TRUYỀN HÌNH	VIVOSSPK11_T029	VIVOSSPK11_R196
VỀ MẶT KỶ CƯƠNG HÀNH CHÍNH KHÔNG THỂ CHẤP NHẬN	VIVOSSPK11_T037	VIVOSSPK11_R197
LỒNG GHÉP MỤC TIÊU GIẢM NGHÈO BỀN VỮNG	VIVOSSPK11_T050	VIVOSSPK11_R198
ĐỂ CHỨNG TỎ BẢN THÂN VÀ ĐƯỢC BAN GIÁM ĐỐC HỖ TRỢ	VIVOSSPK11_R177	VIVOSSPK11_R199
MỐI ĐỤC LUỖNG CẢ TẤM GỖ	VIVOSSPK11_R067	VIVOSSPK11_R200
CÁC VÙNG SÂU VÙNG XA KHÓ MÀ PHÁT TRIỂN	VIVOSSPK11_R101	VIVOSSPK11_T001
NGƯỜI TA THƯỜNG NÓI THẬP NHÂN CỬU TRĨ	VIVOSSPK11_R004	VIVOSSPK11_T002
BỌN KHỐN KHÔNG CHỊU BUÔNG THA CHO NÓ	VIVOSSPK11_R068	VIVOSSPK11_T003
LÀM ĐẠI CA GIANG HỒ MÀ MẶT NHƯ CÁI BÁNH BAO	VIVOSSPK11_T005	VIVOSSPK11_T004
NÓI THÌ NHIỀU MÀ LÀM ĐƯỢC KHÔNG BAO NHIÊU	VIVOSSPK11_R046	VIVOSSPK11_T005
CÁI BÁNH BAO NHIÊU TIỀN VẬY CHÚ	VIVOSSPK11_R151	VIVOSSPK11_T006
LÊN MẠNG NÓI CHUYỆN CÁI COI	VIVOSSPK11_R142	VIVOSSPK11_T007
TAO ĐANG BUỒN TÂM SỰ CHÚT COI	VIVOSSPK11_R090	VIVOSSPK11_T008
BÁC ĐANG SUY NGHĨ GÌ THẾ	VIVOSSPK11_R082	VIVOSSPK11_T009
CHẢ BIẾT NÊN TIÊU TIỀN NÀY VÀO VIỆC GÌ	VIVOSSPK11_R158	VIVOSSPK11_T010
HÔM QUA ANH VỪA SẮM MỘT CON NGỰA SẮT ĐẸP LẮM	VIVOSSPK11_R123	VIVOSSPK11_T011
CHÚC ANH CHỊ TRĂM NĂM HẠNH PHÚC	VIVOSSPK11_R125	VIVOSSPK11_T013
CHỪNG NÀO CÓ EM BÉ ĐÂY	VIVOSSPK11_R181	VIVOSSPK11_T014
HY VỌNG LÀ NĂM SAU LÀM ĂN KHÁ HƠN	VIVOSSPK11_T034	VIVOSSPK11_T015
DẠO NÀY KHÁC VẮNG QUÁ CHẮC PHẢI QUẢNG CÁO THÊM	VIVOSSPK11_T027	VIVOSSPK11_T016
BÁC VẪN CHƯA TRẢ TIỀN CHO TÔI ĐÂY NHÉ	VIVOSSPK11_T014	VIVOSSPK11_T017
XONG VIỆC SANG PHÒNG NHÂN SỰ GẶP BÁC HAI	VIVOSSPK11_T008	VIVOSSPK11_T019
TRỜI ƠI SAO MÀ GHÊ THẾ	VIVOSSPK11_R104	VIVOSSPK11_T020
CHUYỆN VẬY MÀ NÓ CŨNG LÀM ĐƯỢC	VIVOSSPK11_R113	VIVOSSPK11_T022
CƯỚP ĐẦY ĐƯỜNG CÔNG AN CHỈ LO HẠCH SÁCH	VIVOSSPK11_R063	VIVOSSPK11_T023
THẦY VỀ NHA CÁC EM	VIVOSSPK11_T049	VIVOSSPK11_T024
THẰNG MINH BẢO VỆ XONG CHƯA	VIVOSSPK11_R082	VIVOSSPK11_T025
BÊN KẾ TOÁN ĐÒI TIỀN GẮT QUÁ CHƯA BIẾT LÀM SAO	VIVOSSPK11_R039	VIVOSSPK11_T026
TÌNH HÌNH LÀ ĐANG THANH TRA DỮ LẮM	VIVOSSPK11_R170	VIVOSSPK11_T027
BÊN CHI BỘ CHƯA CÓ QUYẾT ĐỊNH CHÍNH THỨC	VIVOSSPK11_R145	VIVOSSPK11_T028
BÁC COI LÀM HỘ EM CÁI HỒ SƠ NHẬP HỌC NHÉ	VIVOSSPK11_R172	VIVOSSPK11_T029
CÁC MẸ CHO EM HỎI VỚI	VIVOSSPK11_T015	VIVOSSPK11_T030
THỦ TỤC NHẬP CẢNH DỄ KHÔNG VẬY	VIVOSSPK11_R037	VIVOSSPK11_T031
TỘI NGHIỆP THẰNG TRƯỜNG NÓ CỨ NUÔI CON NGƯỜI TA	VIVOSSPK11_T027	VIVOSSPK11_T032
CHÍNH PHỦ VỪA BAN HÀNH MỘT ĐẠO LUẬT XE CHÍNH CHỦ	VIVOSSPK11_R068	VIVOSSPK11_T033
DÂN PHẢN ĐỐI QUÁ NÊN BỌN CHÚNG DẸP MẸ RỒI	VIVOSSPK11_R178	VIVOSSPK11_T034
MẸ ƠI CÓ MUA ĐỒ CHO CON KHÔNG	VIVOSSPK11_R097	VIVOSSPK11_T035
HẾT MÌ GÓI RỒI MÀY ĂN TẠM GÀ NƯỚNG NHA	VIVOSSPK11_R032	VIVOSSPK11_T036
CƠM CĂN TIN ĂN DỞ MÀ CÒN MẤT VỆ SINH	VIVOSSPK11_R187	VIVOSSPK11_T037
EM GÁI EM ĐÒI MUA XE LU MÀ EM CHƯA CÓ TIỀN MUA	VIVOSSPK11_R062	VIVOSSPK11_T038
VẬY LÀ HẾT CÁCH RỒI	VIVOSSPK11_T048	VIVOSSPK11_T039
CHIỀU NHỚ XUỐNG PHÒNG TÀI VỤ ĐÓNG THUẾ NHA	VIVOSSPK11_R069	VIVOSSPK11_T040
CON CHÓ LỦI THỦI ĐI THEO CHỦ NÓ	VIVOSSPK11_R117	VIVOSSPK11_T041
ÔNG GIÁO SƯ QUA THĂM PHÒNG NHƯNG CHẢ AI ĐÓN TIẾP CẢ	VIVOSSPK11_T045	VIVOSSPK11_T042
THIỆT RA ỔNG QUA ĐÂY ĐỂ ĂN CHƠI	VIVOSSPK11_T029	VIVOSSPK11_T043
CÒN VÀI TRIỆU LÀM CÚ CHÓT NHA	VIVOSSPK11_T011	VIVOSSPK11_T044
TỐI NAY BAY KHÔNG ANH	VIVOSSPK11_R077	VIVOSSPK11_T045
VỤ LÀM ĂN VỪA RỒI LỖ HẾT TIỀN	VIVOSSPK11_T008	VIVOSSPK11_T046
TRONG PHIM CÓ NHIỀU CẢNH CHÉM GIẾT	VIVOSSPK11_R002	VIVOSSPK11_T047
DIỄN VIÊN CHÍNH ĐỨNG NHƯ KHÚC GỖ	VIVOSSPK11_R080	VIVOSSPK11_T048
CÓ THẰNG DU ĐÃNG LÀ KHÁ SÀNH ĐIỆU	VIVOSSPK11_T024	VIVOSSPK11_T049
KHÔNG ĐI HỌC NỮA ĐÂU	VIVOSSPK11_T001	VIVOSSPK11_T050
HÀNG NGÀN NGƯỜI THÍCH THÚ	VIVOSSPK12_R161	VIVOSSPK12_R001
TRƯỚC LÚC ÔNG CHẤM DỨT CUỘC HÀNH TRÌNH	VIVOSSPK12_R001	VIVOSSPK12_R002
THUYỀN TRƯỞNG VỘI VÀNG LÊN BUỒNG LÁI	VIVOSSPK12_R089	VIVOSSPK12_R004
NGUYÊN NHÂN DO CÓ QUÁ ÍT CHẤT NHỜN Ở LỚP HẠ BÌ	VIVOSSPK12_R024	VIVOSSPK12_R005
NHÌN CHẰM CHẰM VÀO TÔI	VIVOSSPK12_T047	VIVOSSPK12_R007
TÔI CÓ NHỮNG DỰ ĐỊNH VÀ TÔI THỰC HIỆN	VIVOSSPK12_R163	VIVOSSPK12_R008
VÀ NHƯ THẾ NHỮNG ĐIỀU TỐT ĐẸP	VIVOSSPK12_R109	VIVOSSPK12_R009
CÁC NHÀ KHOA HỌC ĐANG TIẾN THÊM MỘT BƯỚC	VIVOSSPK12_T003	VIVOSSPK12_R010
SAU MỘT NĂM EO SÈO	VIVOSSPK12_R087	VIVOSSPK12_R011
THANH VI MỘT CÔ THUỘC TÍP NGƯỜI XINH ĐẸP LÃNG MẠN	VIVOSSPK12_R148	VIVOSSPK12_R012
BUỘC THÁO DỠ PHẦN VI PHẠM NGAY NHƯ QUẬN BÌNH THẠNH	VIVOSSPK12_R029	VIVOSSPK12_R013
VỚI HAI CỔ TAY TREO LỦNG LẲNG NHỮNG TÚI XỐP	VIVOSSPK12_T006	VIVOSSPK12_R014
TRÊN NHỮNG TRIỀN ĐỒI ĐÁ GAN TRÂU BẠC MẦU NÀY	VIVOSSPK12_R130	VIVOSSPK12_R016
ÔNG ĐỊNH CŨNG CHO BIẾT LỢI NHUẬN QUÁ LỚN TỪ VIỆC BUÔN BÁN PHÁO	VIVOSSPK12_T006	VIVOSSPK12_R017
RẤT THÍCH ĐƯỢC NGƯỜI YÊU GÂY NGẠC NHIÊN	VIVOSSPK12_R119	VIVOSSPK12_R018
CON BIẾT NỊNH BỐ MỖI KHI THÍCH MÓN ĐỒ CHƠI NÀO ĐÓ	VIVOSSPK12_T005	VIVOSSPK12_R019
HUYỀN TÁNG ĐƯA QUAN TÀI NGƯỜI CHẾT LÊN TRÊN NÚI CAO	VIVOSSPK12_R127	VIVOSSPK12_R022
KHI QUÃNG ĐỜI TRƯỚC ĐÓ CỦA CHỊ BẦM TẤY NHỮNG KHỔ ĐAU	VIVOSSPK12_R064	VIVOSSPK12_R023
SAU ĐÓ CHO CHÚT ĐƯỜNG VÀ CHANH ĐỂ ĐẰM ĐI CÁI VỊ MẶN	VIVOSSPK12_R106	VIVOSSPK12_R024
DO TÌNH TRẠNG CO RÚT BẮP CHÂN	VIVOSSPK12_T049	VIVOSSPK12_R025
QUA DÁNG AI MÀ TRẮNG ĐẾN TRONG SUỐT	VIVOSSPK12_R134	VIVOSSPK12_R026
ĐÓ LÀ TẤT CẢ NHỮNG GÌ MÀ BẤT KỲ NGƯỜI NÀO CŨNG ĐÒI HỎI Ở BẠN	VIVOSSPK12_R026	VIVOSSPK12_R027
KHIẾN CÔNG TÁC CỨU HỘ GẶP NHIỀU KHÓ KHĂN	VIVOSSPK12_R119	VIVOSSPK12_R028
LÀ LÀM SAO HÌNH DUNG ĐƯỢC MỌI NGÓC NGÁCH LUẬT LỆ	VIVOSSPK12_R194	VIVOSSPK12_R029
XẮN QUẦN VƯỢT QUA LÀ BƯỚC VÀO THẾ GIỚI	VIVOSSPK12_R005	VIVOSSPK12_R031
NHƯ TRONG NHỮNG CÂU CHUYỆN TÔI THƯỜNG ĐỌC	VIVOSSPK12_R068	VIVOSSPK12_R032
CỤ HIÊNG LÀ NGƯỜI THÔNG THẠO CHỮ HÁN	VIVOSSPK12_T037	VIVOSSPK12_R033
LÀM VIỆC MỘT CÁCH CẬT LỰC	VIVOSSPK12_T026	VIVOSSPK12_R034
TỜ CHƯƠNG TRÌNH ĐƯỢC ĐƯA TRƯỚC CẢ BUỔI	VIVOSSPK12_T021	VIVOSSPK12_R035
TỪ TRƯỚC ĐẾN NAY ĐỂ THÙY NÃO PHẢI CỦA MÌNH HOẠT ĐỘNG QUÁ MỨC	VIVOSSPK12_R165	VIVOSSPK12_R036
BÊN TRONG CÁC THẦY ĐỒ NGỒI GHỂNH CHÂN HÚT THUỐC UỐNG TRÀ	VIVOSSPK12_R056	VIVOSSPK12_R037
BÀ VÕ THỊ KIM PHƯỢNG	VIVOSSPK12_R018	VIVOSSPK12_R038
NHẬN THI CÔNG CÔNG TRÌNH VỀ MỘC	VIVOSSPK12_R181	VIVOSSPK12_R039
KÌM NÉN SỰ GIẬN DỮ SẼ GẶM NHẤM TÂM HỒN BẠN	VIVOSSPK12_R127	VIVOSSPK12_R040
KHÔNG MỘT NƠI NÀO LÃNG MẠN VÀ THƠ MỘNG HƠN NHỮNG KHU HỒ HOANG	VIVOSSPK12_R181	VIVOSSPK12_R041
ĐỂ NỖ LỰC VƯỢT LÊN SỐ PHẬN CỦA MÌNH	VIVOSSPK12_R040	VIVOSSPK12_R042
VẬY TÔI XIN TRÂN TRỌNG NÉP MÌNH	VIVOSSPK12_R013	VIVOSSPK12_R043
VÌ SỰ TÁNG TẬN LƯƠNG TÂM CỦA TÊN LÁI XE ĐỐN MẠT KIA	VIVOSSPK12_R143	VIVOSSPK12_R044
BÀ MẸ NGHÈO ĐÔNG CON	VIVOSSPK12_R014	VIVOSSPK12_R045
GIỮA SỚI CHỌI MỘT CHIẾC BÀN ĐỦ RỘNG	VIVOSSPK12_R155	VIVOSSPK12_R046
LÀ MỘT ĐIỀU KHÔNG TỐT	VIVOSSPK12_R105	VIVOSSPK12_R048
ĐÓNG MÁC NHÀ TÀI TRỢ TO OÀNH TRÊN SÂN KHẤU	VIVOSSPK12_R076	VIVOSSPK12_R049
TẠI NĂM KHU BẢO TỒN	VIVOSSPK12_R025	VIVOSSPK12_R050
ĐÓ LÀ ĐIỀU TỰ NHIÊN	VIVOSSPK12_R103	VIVOSSPK12_R051
CUỐI CÙNG THÌ PHAO CŨNG RƠI TRÚNG NGƯỜI TRÊN MẶT NƯỚC	VIVOSSPK12_R102	VIVOSSPK12_R052
CÓ VÀI DÂY KIM TUYẾN TRANG TRÍ	VIVOSSPK12_R099	VIVOSSPK12_R054
ĐIỀU KHIỂN HOẠT ĐỘNG CỦA NGÂN HÀNG	VIVOSSPK12_R114	VIVOSSPK12_R055
VÌ KHÔNG CÓ VIỆC LÀM CŨNG TRỞ NÊN RẤT QUẪN BÁCH	VIVOSSPK12_R026	VIVOSSPK12_R056
LẠI CÀNG LÀM CHO MIỀN ĐẤT HỨA BÍ ẨN	VIVOSSPK12_R039	VIVOSSPK12_R057
VỪA NHÌN THẤY CHIẾC MÁY ĐIỆN THOẠI	VIVOSSPK12_T049	VIVOSSPK12_R058
MỖI KHI CHUẨN BỊ LÀM BÁNH ĐÚC	VIVOSSPK12_R044	VIVOSSPK12_R059
TỪ NHỎ TÔI KHÔNG THỂ NGHE NHƯ NHỮNG ĐỨA TRẺ BÌNH THƯỜNG KHÁC	VIVOSSPK12_R002	VIVOSSPK12_R060
MỘT TRONG NHỮNG YẾU TỐ CỐT LÕI	VIVOSSPK12_R073	VIVOSSPK12_R061
HỌ SẼ TRAO CÂY GẬY TRÁCH NHIỆM CHO LÃNH ĐẠO MỚI	VIVOSSPK12_R200	VIVOSSPK12_R063
ĐI LÊN PHỐ TRIỆNG VÀO NHÀ BẠN	VIVOSSPK12_R056	VIVOSSPK12_R064
CÁC THƯƠNG LÁI HOA MAI ĐÃ SỤC SẠO KHẮP CÁC LÀNG VEN HUẾ	VIVOSSPK12_R158	VIVOSSPK12_R065
CHỈ CÓ TIẾNG HỔN HỂN CỦA HƠI THỞ CHÚNG TỚ	VIVOSSPK12_R174	VIVOSSPK12_R066
NGAY CẢ THỨ CAO ĐẶC BIỆT	VIVOSSPK12_T041	VIVOSSPK12_R067
NẾU BẠN ĐANG NHỚ LẠI NHỮNG VIỆC ĐÃ QUA	VIVOSSPK12_R126	VIVOSSPK12_R068
CÔ CHỈ CÓ HÚP CHÁO BẰNG ỐNG HÚT	VIVOSSPK12_R027	VIVOSSPK12_R069
THƯỜNG KHI NGƯỜI TA ĐẾN NHỜ VIẾT SỚ THÌ ÔNG BẮT TÔI MÀI MỰC	VIVOSSPK12_R080	VIVOSSPK12_R071
NÓ KHIẾN BẠN TRỞ NÊN TỰ TIN HƠN	VIVOSSPK12_R083	VIVOSSPK12_R072
CHỊ QUĂNG VÀO MẶT TÔI MỘT CÂU RỒI NGÚNG NGUẨY BƯỚC RA KHỎI QUÁN	VIVOSSPK12_T028	VIVOSSPK12_R073
RIÊNG DÀNH CHO PHÁI ĐẸP	VIVOSSPK12_R100	VIVOSSPK12_R074
VÀ THẾ LÀ ÔNG LẠI QUÀY QUẢ RA ĐI	VIVOSSPK12_R185	VIVOSSPK12_R075
CHẲNG LẼ NHỮNG KẺ RÂU RIA NHẴN THÍN LẠI TỆ VỀ CƠ SỐ	VIVOSSPK12_R060	VIVOSSPK12_R076
LÀ GIỮ LIÊN LẠC VỚI BẠN BÈ VÀ ĐỒNG NGHIỆP	VIVOSSPK12_R072	VIVOSSPK12_R078
RỆ NGÃ XUỐNG RỆ ĐƯỜNG	VIVOSSPK12_R138	VIVOSSPK12_R079
VÁY ÔM NHỮNG CHIẾC VÁY BÚT CHÌ CÓ ĐƯỜNG CẮT QUÁ CỨNG NHẮC	VIVOSSPK12_T004	VIVOSSPK12_R080
LIỀN CHẠY THEO NẮM LẤY CỬA SAU XE BUÝT	VIVOSSPK12_R025	VIVOSSPK12_R081
TOÀN THÂN DA NHĂN NHEO ĐẾN THẢM HẠI CÁC ĐẦU NGÓN TAY CHÂN	VIVOSSPK12_R150	VIVOSSPK12_R082
CHO GIỚI NGHỆ SĨ TRONG NGOÀI NƯỚC	VIVOSSPK12_T045	VIVOSSPK12_R083
PHẢI KIÊN QUYẾT ĐẤU TRANH CHỐNG SỬ DỤNG VŨ KHÍ HÓA HỌC	VIVOSSPK12_R141	VIVOSSPK12_R084
HẠNH PHÚC LỨA ĐÔI LÀ GÌ MÀ LẬN ĐẬN MỘT ĐỜI MÃI KHÔNG TÌM THẤY	VIVOSSPK12_R088	VIVOSSPK12_R085
THANH ĐỀ VÀ MÚA SÊNH TIỀN LÀNG TRIỀU KHÚC	VIVOSSPK12_R013	VIVOSSPK12_R086
NGƯỜI DÂN CẦN PHẢI LẮP ĐẶT THIẾT BỊ GIẢI MÃ	VIVOSSPK12_R132	VIVOSSPK12_R087
BẠN CÓ THỂ TỰ DO CÓP NHẶT	VIVOSSPK12_R176	VIVOSSPK12_R088
CỦA MỘT NGƯỜI GIÁO SĨ DO THÁI	VIVOSSPK12_R078	VIVOSSPK12_R089
TRONG KHI ĐÓ HẮN CỨ XỒNG XỘC ĐẾN	VIVOSSPK12_T039	VIVOSSPK12_R090
KHỎI NHỮNG CẢM GIÁC LO LẮNG VÀ HỐI HẬN	VIVOSSPK12_R074	VIVOSSPK12_R091
BỘ XÂY DỰNG ĐÃ CHỈ ĐẠO	VIVOSSPK12_R009	VIVOSSPK12_R092
